,project,chain,symbol,tvlUsd,apy,apyMean30d
819,morpho-v1,Base,WSTETH,60144,0.0,0.0
823,morpho-v1,Ethereum,WEETH,58633,0.0,0.0
827,morpho-v1,Ethereum,WSTETH,56916,0.0,0.0
828,morpho-v1,Base,STEAKUSDC,56407,0.0,0.0
842,compound-v3,Base,WETH,45043,0.0,0.0
845,morpho-v1,Ethereum,CBBTC,42614,0.0,0.0
846,morpho-v1,Base,CBBTC,41613,0.0,0.0
849,morpho-v1,Ethereum,WSTETH,40934,0.0,0.0
857,compound-v3,Ethereum,RSETH,36113,0.0,0.0
858,compound-v3,Ethereum,CBBTC,35922,0.0,0.0
860,compound-v3,Base,USDC,35431,0.0,0.0
866,compound-v3,Arbitrum,RETH,31106,0.0,0.0
877,morpho-v1,Base,WSTETH,27736,0.0,0.0
878,aave-v3,Ethereum,RSETH,27188,0.0,0.0
888,morpho-v1,Ethereum,WSTETH,22792,0.0,0.0
894,morpho-v1,Ethereum,WSTETH,20992,0.0,0.0
903,morpho-v1,Ethereum,WETH,16517,0.0,0.0
905,morpho-v1,Base,USDC,16224,0.0,0.0
910,morpho-v1,Ethereum,WBTC,14836,0.0,0.0
924,compound-v3,Optimism,USDC,12259,0.0,0.0
926,morpho-v1,Ethereum,USDC,12085,0.0,0.0
929,morpho-v1,Polygon,WETH,11018,0.0,0.0
932,morpho-v1,Base,CBBTC,10474,0.0,0.0
